SNO,T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
1,-0.84025559105431302,-0.69359331476323127,-0.85762711864406782,0.57142857142857517,0.83333333333333326,-0.7931034482758621,-1.0,-,6
2,-0.94888178913738019,-1.0,-0.80338983050847457,0.72180451127819967,0.91666666666666674,-0.7931034482758621,-0.64754098360655732,-0.83633841886269067,5
3,-0.92332268370607029,-0.83844011142061292,-0.83050847457627119,0.78947368421052899,0.75,-0.72413793103448276,-0.6393442622950819,-0.78918169209431344,5
4,-0.93610223642172519,-0.67130919220055718,-0.94576271186440675,0.70676691729323382,0.55555555555555558,-0.72413793103448276,-0.92622950819672134,-0.8862690707350902,4
5,-1.0,-0.84401114206128147,-1.0,0.78947368421052899,0.75,-0.72413793103448276,-0.77049180327868849,-0.78918169209431344,1
6,-0.99361022364217244,-0.79944289693593318,-0.96610169491525422,0.85714285714285832,0.61111111111111116,-0.72413793103448276,-0.60655737704918034,-0.78918169209431344,5
7,-0.87220447284345048,-0.68245125348189428,-0.90508474576271192,0.80451127819549484,0.33333333333333326,-0.58620689655172409,-0.33606557377049184,-0.52565880721220526,5
8,-0.62939297124600624,-0.38161559888579411,-0.83050847457627119,0.69924812030075079,0.027777777777777679,-0.24137931034482751,-0.28688524590163933,-0.48127600554785022,5
9,-0.53993610223642163,-0.37047353760445689,-0.66779661016949143,0.56390977443609214,-0.05555555555555558,-0.034482758620689502,-0.016393442622950727,-0.37864077669902907,5
10,-0.46964856230031937,-0.28133704735376064,-0.60677966101694913,0.60902255639098124,-0.02777777777777779,-0.034482758620689502,-0.23770491803278682,-0.37864077669902907,5
11,-0.46325878594249192,-0.14206128133704754,-0.60677966101694913,0.59398496240601539,0.36111111111111116,-0.37931034482758608,-0.69672131147540983,0.85020804438280195,5
12,-0.39936102236421722,-0.14206128133704754,-0.45084745762711864,0.39097744360902742,0.52777777777777768,-0.72413793103448276,-0.60655737704918034,-0.78918169209431344,6
13,-0.56549520766773154,-0.37604456824512544,-0.5050847457627119,0.53383458646616888,0.75,-0.7931034482758621,-0.87704918032786883,-0.8862690707350902,5
14,-0.50798722044728417,-0.28690807799442908,-0.68135593220338986,0.62406015037593865,0.44444444444444442,-0.58620689655172409,-0.96721311475409832,-1.0,6
15,-0.40575079872204467,-0.20334261838440115,-0.53220338983050852,0.66165413533834472,0.52777777777777768,-0.72413793103448276,-1.0,-,5
16,-0.38019169329073466,-0.20334261838440115,-0.28135593220338984,0.57894736842105798,0.66666666666666674,-0.58620689655172409,-0.55737704918032782,-0.68654646324549229,5
17,-0.55910543130990409,-0.63231197771587766,-0.3627118644067796,0.54887218045112629,0.94444444444444442,-0.034482758620689502,-0.37704918032786883,-0.58945908460471563,2
18,-0.61022364217252401,-0.49303621169916456,-0.63389830508474576,0.99248120300752563,0.44444444444444442,0.10344827586206895,-0.5,-0.63938973647711506,4
19,-0.6613418530351437,-0.49303621169916456,-0.70169491525423733,0.90977443609023045,0.44444444444444442,-0.37931034482758608,-0.31967213114754089,-0.52565880721220526,4
20,-0.64217252396166136,-0.43732590529247928,-0.70847457627118637,0.97744360902255978,0.25,0.31034482758620707,-0.6393442622950819,-0.58945908460471563,5
21,-0.6613418530351437,-0.40947075208913675,-0.80338983050847457,0.99248120300752563,0.22222222222222232,-0.034482758620689502,-0.6393442622950819,-0.78918169209431344,5
22,-0.6485623003194888,-0.40947075208913675,-0.83050847457627119,0.96992481203007674,0.27777777777777768,-0.24137931034482751,-0.75409836065573765,-0.78918169209431344,5
23,-0.62939297124600624,-0.40389972144846809,-0.74915254237288131,0.93984962406015349,0.30555555555555558,-0.24137931034482751,-0.62295081967213117,-0.78918169209431344,5
24,-0.56549520766773154,-0.37047353760445689,-0.74915254237288131,0.90225563909774742,0.0,0.17241379310344818,-0.34426229508196715,-0.48127600554785022,5
25,-0.6357827476038338,-0.35376044568245146,-0.69491525423728806,0.87218045112782416,0.27777777777777768,0.17241379310344818,-0.45081967213114749,-0.68654646324549229,5
