T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
0.3981191222570533,0.21448467966573806,0.5290519877675839,-0.4675324675324638,0.4358974358974359,-0.6091954022988506,-0.6916666666666667,-0.6499321573948439,0.0
-0.4545454545454545,-0.18662952646239586,-0.4617737003058104,0.5649350649350686,0.7948717948717949,-0.9770114942528738,-0.9416666666666667,-0.9050203527815468,1.0
0.949843260188088,0.9610027855153201,0.8654434250764526,-0.5714285714285694,-0.717948717948718,-0.6091954022988506,-0.20000000000000007,-0.44911804613297135,1.0
0.586206896551724,0.7715877437325902,0.712538226299694,-0.5259740259740282,-0.2051282051282052,-0.517241379310345,-0.25,-0.6499321573948439,0.0
-0.6739811912225704,-0.5821727019498608,-0.7431192660550457,0.8376623376623373,0.6153846153846154,-0.9080459770114943,-0.7416666666666667,-0.8453188602442334,1.0
0.36050156739811934,0.4818941504178269,0.2293577981651376,-0.1883116883116871,-0.33333333333333337,-0.6091954022988506,-0.5083333333333333,-0.6499321573948439,1.0
0.04075235109717879,0.15877437325905275,0.0030581039755350763,0.30519480519480857,0.02564102564102555,-0.7241379310344829,-0.5083333333333333,-0.6499321573948439,1.0
0.2915360501567399,0.39275766016713054,0.3333333333333333,0.22077922077921966,-0.10256410256410252,-0.6091954022988506,-0.125,-0.5549525101763906,0.0
0.12225705329153592,0.37047353760445656,0.19877675840978595,0.3961038961038981,0.05128205128205132,-0.517241379310345,-0.275,-0.6037991858887382,0.0
0.015673981191222763,0.08635097493036192,0.1009174311926604,0.44155844155844653,0.3076923076923077,-0.6091954022988506,-0.43333333333333335,-0.6499321573948439,1.0
0.15360501567398122,0.3259052924791084,0.1009174311926604,0.4350649350649387,0.3076923076923077,-0.7241379310344829,-0.9416666666666667,-0.796472184531886,1.0
0.517241379310345,0.3983286908077992,0.5596330275229355,-0.4870129870129878,0.15384615384615374,-0.6091954022988506,-0.775,-0.796472184531886,0.0
0.3730407523510973,0.3036211699164344,0.5902140672782874,-0.3636363636363656,0.5641025641025641,-0.6091954022988506,0.21666666666666656,-0.34871099050203513,0.0
